Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
Male,No,47,Yes,Artist,1.0,Low,1.0,Cat_6,C
Male,Yes,43,Yes,Executive,0.0,High,3.0,Cat_6,D
Male,Yes,36,No,Executive,8.0,Average,4.0,Cat_1,B
Male,Yes,80,No,Lawyer,1.0,Low,1.0,Cat_6,D
Male,No,36,Yes,Artist,0.0,Low,2.0,Cat_2,C
Male,No,27,No,,2.0,Low,7.0,Cat_4,D
Female,Yes,37,Yes,Artist,1.0,High,2.0,Cat_7,A
Male,Yes,46,Yes,Executive,0.0,High,3.0,Cat_6,C
Male,Yes,55,No,Executive,1.0,High,4.0,Cat_3,B
Female,Yes,47,No,Engineer,9.0,Average,4.0,Cat_4,B
Female,No,28,Yes,Healthcare,1.0,Low,3.0,Cat_3,D
Male,Yes,39,No,Entertainment,9.0,Low,2.0,Cat_3,D
Female,Yes,27,No,Marketing,1.0,Low,2.0,Cat_6,A
Female,Yes,42,No,Engineer,0.0,Low,,Cat_6,A
Male,Yes,72,Yes,Artist,0.0,Average,2.0,Cat_6,C
Female,Yes,28,Yes,Engineer,0.0,Low,2.0,Cat_6,A
Male,No,35,Yes,Entertainment,8.0,Low,5.0,Cat_6,C
Male,Yes,39,Yes,Executive,9.0,High,5.0,Cat_2,A
Female,Yes,69,Yes,Lawyer,0.0,High,2.0,Cat_6,C
Male,No,18,No,Healthcare,6.0,Low,4.0,Cat_4,D
Male,Yes,46,Yes,Artist,,Low,1.0,Cat_6,A
Female,Yes,50,Yes,Engineer,1.0,High,2.0,Cat_4,B
Male,No,30,No,Executive,5.0,Low,5.0,Cat_6,A
Female,No,41,No,Artist,,Low,2.0,Cat_6,B
Female,No,39,Yes,Artist,3.0,Low,4.0,Cat_6,D
Female,No,29,No,Marketing,8.0,Low,4.0,Cat_6,D
Female,Yes,37,Yes,Artist,4.0,Low,4.0,Cat_5,B
Female,Yes,39,Yes,Engineer,0.0,Average,2.0,Cat_6,A
Female,Yes,48,Yes,Artist,0.0,Average,5.0,Cat_7,C
Female,No,32,Yes,Doctor,0.0,Low,3.0,Cat_6,C
Male,Yes,78,No,Lawyer,1.0,Low,,Cat_6,B
Female,Yes,43,No,Engineer,0.0,Average,5.0,Cat_4,B
Male,No,29,No,Marketing,8.0,Low,5.0,Cat_6,C
Female,Yes,28,No,Engineer,9.0,Average,2.0,Cat_4,A
Male,Yes,80,Yes,Lawyer,1.0,Low,1.0,Cat_6,B
Female,No,28,Yes,Healthcare,7.0,Low,4.0,Cat_6,D
Male,Yes,71,Yes,Artist,6.0,Average,3.0,Cat_6,C
Male,Yes,67,No,Lawyer,0.0,High,9.0,Cat_4,A
Female,No,26,No,Engineer,0.0,Low,1.0,Cat_2,A
Female,Yes,47,Yes,Engineer,0.0,Average,2.0,Cat_6,C
Female,Yes,43,Yes,Artist,2.0,Average,2.0,Cat_6,B
Female,No,27,Yes,Healthcare,0.0,Low,4.0,Cat_6,C
Female,Yes,45,Yes,Marketing,8.0,Low,4.0,Cat_6,D
Male,Yes,76,No,Executive,1.0,Low,1.0,Cat_6,C
Female,Yes,43,Yes,Artist,3.0,Average,4.0,Cat_6,C
Female,Yes,78,Yes,Lawyer,1.0,High,2.0,Cat_6,B
Male,Yes,35,Yes,Artist,3.0,Average,3.0,Cat_6,C
Female,No,49,Yes,Artist,1.0,Low,1.0,Cat_6,C
Female,No,25,Yes,Healthcare,1.0,Low,5.0,Cat_6,D
Male,Yes,37,No,Executive,0.0,Average,5.0,Cat_6,A
Female,No,32,No,Healthcare,1.0,Low,5.0,,C
Male,Yes,60,Yes,Doctor,0.0,Average,2.0,Cat_6,C
Female,Yes,45,Yes,Artist,5.0,Average,3.0,Cat_6,C
Female,Yes,49,Yes,Homemaker,9.0,Average,3.0,Cat_6,C
Male,No,32,Yes,Artist,0.0,Low,5.0,Cat_6,D
Female,Yes,40,Yes,Artist,0.0,Low,3.0,Cat_3,B
Male,Yes,59,No,Artist,2.0,Average,2.0,Cat_4,C
Male,Yes,48,Yes,Artist,3.0,Low,5.0,Cat_6,B
Male,Yes,82,Yes,Executive,0.0,High,2.0,Cat_6,C
Female,Yes,70,Yes,Lawyer,0.0,Low,2.0,Cat_6,B
Male,No,31,Yes,Artist,5.0,Low,2.0,Cat_6,B
Female,Yes,72,Yes,Lawyer,0.0,High,2.0,Cat_6,C
Male,Yes,50,Yes,Artist,3.0,Average,4.0,Cat_6,C
Female,No,23,No,Engineer,11.0,Low,1.0,Cat_3,D
Female,No,20,No,Healthcare,2.0,Low,6.0,Cat_6,D
Female,No,22,No,Healthcare,4.0,Low,3.0,Cat_6,D
Female,No,31,Yes,Engineer,8.0,Low,1.0,Cat_6,A
Female,Yes,36,Yes,Artist,7.0,Average,2.0,Cat_6,C
Male,Yes,52,No,Entertainment,,Average,5.0,Cat_4,B
Female,No,29,Yes,Artist,,Low,1.0,Cat_4,B
Male,Yes,40,Yes,Artist,4.0,Average,4.0,Cat_6,C
Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,A
Male,Yes,38,Yes,Artist,,Low,2.0,Cat_6,C
Female,Yes,85,No,Lawyer,,Low,,,A
Female,No,21,No,Doctor,1.0,Low,3.0,Cat_7,A
Female,Yes,41,No,Engineer,4.0,Average,2.0,Cat_6,D
Male,Yes,40,Yes,Artist,0.0,Low,2.0,Cat_6,B
Male,Yes,53,Yes,Artist,1.0,Average,3.0,Cat_6,B
Female,Yes,42,Yes,Artist,5.0,Low,2.0,Cat_6,C
Male,Yes,42,No,Executive,8.0,Low,2.0,Cat_6,D
Male,Yes,48,Yes,Artist,,Average,4.0,Cat_7,C
Male,Yes,59,Yes,Artist,7.0,Low,2.0,Cat_6,C
Male,Yes,41,Yes,Executive,1.0,Average,3.0,Cat_6,A
Female,Yes,31,Yes,Artist,0.0,Average,2.0,Cat_6,A
Female,Yes,49,Yes,Artist,1.0,High,5.0,Cat_6,B
Male,Yes,67,Yes,Executive,1.0,Low,2.0,Cat_6,A
Male,Yes,35,No,Artist,4.0,Average,2.0,Cat_6,B
Female,No,26,Yes,Healthcare,0.0,Low,3.0,Cat_6,C
Male,,19,No,Healthcare,9.0,Low,3.0,Cat_3,D
Female,Yes,25,No,Engineer,6.0,Average,8.0,Cat_4,D
Female,Yes,39,Yes,Healthcare,4.0,Low,2.0,Cat_6,A
Male,Yes,63,Yes,Entertainment,0.0,Low,2.0,Cat_6,A
Male,No,23,No,Healthcare,8.0,Low,3.0,Cat_6,D
Female,No,23,No,Healthcare,0.0,Low,3.0,Cat_3,D
Female,Yes,53,Yes,Artist,2.0,Low,1.0,Cat_6,C
Male,No,33,Yes,Doctor,0.0,Low,2.0,Cat_6,B
Female,Yes,50,No,Engineer,,Average,4.0,Cat_2,B
Female,Yes,69,Yes,Engineer,0.0,Low,2.0,Cat_4,B
Male,No,37,Yes,Artist,2.0,Low,1.0,Cat_6,B
Female,No,20,No,Marketing,3.0,Low,4.0,Cat_7,C
Female,,85,No,Lawyer,0.0,High,1.0,Cat_3,C
Female,Yes,49,Yes,Doctor,1.0,Average,4.0,Cat_6,C
Male,No,18,No,Healthcare,0.0,Low,3.0,Cat_3,D
Female,Yes,52,Yes,Doctor,0.0,Average,2.0,Cat_6,C
Male,Yes,25,No,Doctor,,Average,2.0,Cat_4,B
Male,Yes,56,No,Executive,,High,2.0,Cat_6,A
Male,No,62,Yes,,0.0,Low,1.0,Cat_6,A
Female,No,35,,Artist,0.0,Low,3.0,Cat_6,B
Male,Yes,28,Yes,Engineer,0.0,Average,2.0,Cat_6,A
Female,No,28,Yes,Artist,7.0,Low,3.0,Cat_6,A
Male,No,20,No,Healthcare,0.0,Low,5.0,Cat_7,D
Female,No,27,No,Homemaker,8.0,Low,1.0,Cat_3,D
Female,No,56,No,Engineer,,Low,1.0,Cat_6,A
Male,Yes,45,Yes,Artist,4.0,Average,4.0,Cat_6,B
Male,No,25,Yes,Healthcare,1.0,Low,4.0,Cat_4,B
Male,No,40,No,Marketing,1.0,Low,1.0,Cat_4,D
Female,Yes,25,Yes,Healthcare,,Low,2.0,Cat_6,D
Female,Yes,74,No,Lawyer,,High,2.0,Cat_6,D
Female,No,23,No,Healthcare,0.0,Low,4.0,,D
Female,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,B
Male,No,21,No,Healthcare,0.0,Low,4.0,,D
Female,No,38,Yes,Artist,9.0,Low,1.0,Cat_3,A
Male,No,28,No,Healthcare,0.0,Low,4.0,Cat_2,C
Female,No,32,No,Healthcare,1.0,Low,5.0,Cat_7,B
Female,No,33,Yes,,0.0,Low,4.0,,D
Female,Yes,56,No,Lawyer,1.0,High,4.0,Cat_4,B
Female,Yes,53,Yes,Artist,1.0,Low,2.0,Cat_6,C
Male,Yes,57,No,Executive,1.0,High,5.0,Cat_6,C
Female,Yes,59,Yes,Artist,0.0,Average,3.0,Cat_6,C
Female,Yes,25,Yes,Healthcare,1.0,High,4.0,Cat_4,A
Male,Yes,59,Yes,Artist,0.0,Average,6.0,Cat_6,C
Female,Yes,36,Yes,Artist,0.0,Low,4.0,Cat_6,C
Male,Yes,37,Yes,Entertainment,7.0,Low,2.0,Cat_6,A
Male,No,22,No,Doctor,1.0,Low,3.0,Cat_2,D
Male,Yes,43,Yes,Artist,1.0,Low,2.0,Cat_6,B
Male,Yes,41,Yes,Artist,1.0,Low,2.0,Cat_4,A
Female,No,21,No,Engineer,0.0,Low,5.0,Cat_2,B
Female,No,49,No,Engineer,1.0,Low,,Cat_7,A
Male,No,38,Yes,Doctor,8.0,Low,1.0,Cat_2,B
Male,Yes,47,No,Artist,,Average,4.0,Cat_6,A
Male,Yes,70,Yes,Lawyer,1.0,High,3.0,Cat_6,C
Female,No,31,No,Engineer,1.0,Low,4.0,Cat_6,B
Female,Yes,82,No,Lawyer,0.0,Average,2.0,Cat_6,A
Female,Yes,51,No,Executive,,Low,1.0,Cat_6,A
Female,No,42,No,Homemaker,11.0,Low,,Cat_6,A
Male,No,38,Yes,Artist,8.0,Low,3.0,Cat_2,A
Male,Yes,18,No,Executive,0.0,High,4.0,Cat_6,A
Male,Yes,50,Yes,Artist,6.0,Average,3.0,Cat_6,C
Female,No,46,Yes,Doctor,1.0,Low,,Cat_3,A
Female,Yes,72,No,Lawyer,1.0,High,3.0,Cat_6,D
Female,No,33,No,Engineer,,Low,4.0,Cat_6,C
Female,No,25,No,Homemaker,1.0,Low,7.0,Cat_4,B
Female,Yes,75,No,Entertainment,2.0,High,2.0,Cat_2,D
Male,No,72,Yes,Artist,1.0,Low,1.0,Cat_6,B
Female,Yes,72,Yes,Artist,0.0,Average,3.0,Cat_4,C
Male,Yes,36,Yes,Entertainment,6.0,Low,6.0,Cat_4,A
Male,Yes,40,Yes,Artist,1.0,Low,2.0,Cat_6,A
Female,No,28,Yes,Entertainment,0.0,Low,4.0,Cat_6,C
Female,No,28,Yes,Doctor,0.0,Low,3.0,Cat_6,D
Male,,19,No,Entertainment,0.0,High,3.0,Cat_4,D
Male,Yes,43,Yes,Artist,0.0,Low,2.0,Cat_4,B
Female,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_6,B
Male,Yes,65,Yes,Lawyer,1.0,High,2.0,Cat_6,B
Male,Yes,52,Yes,Executive,7.0,High,4.0,Cat_4,C
Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,B
Female,Yes,69,No,Engineer,9.0,Low,3.0,Cat_6,A
Female,No,22,No,Healthcare,3.0,Low,3.0,Cat_6,D
Male,Yes,47,Yes,Executive,1.0,Average,4.0,Cat_6,C
Male,Yes,29,Yes,Marketing,1.0,High,2.0,Cat_3,A
Male,Yes,46,Yes,Artist,1.0,Average,3.0,Cat_3,C
Male,No,32,Yes,Artist,1.0,Low,2.0,Cat_6,A
Female,No,38,Yes,Healthcare,0.0,Low,1.0,Cat_2,C
Male,Yes,59,Yes,Artist,0.0,Low,1.0,Cat_6,B
Female,No,26,Yes,Entertainment,1.0,Low,1.0,Cat_6,D
Male,No,26,Yes,Healthcare,1.0,Low,2.0,Cat_3,A
Male,No,28,No,Marketing,0.0,Low,1.0,Cat_3,D
Female,Yes,53,Yes,Engineer,1.0,Average,3.0,Cat_6,C
Female,No,43,,Entertainment,,Low,1.0,Cat_6,B
Male,No,27,No,Doctor,1.0,Low,3.0,Cat_6,D
Female,No,32,No,Artist,,Low,8.0,Cat_6,C
Male,No,26,No,Engineer,0.0,Low,4.0,Cat_4,D
Female,No,31,No,Entertainment,0.0,Low,2.0,Cat_6,D
Male,Yes,39,Yes,Executive,1.0,High,3.0,Cat_3,B
Female,Yes,43,No,Engineer,1.0,Low,3.0,Cat_7,A
Male,Yes,25,No,Doctor,1.0,Low,2.0,Cat_1,A
Male,Yes,40,Yes,Artist,3.0,High,3.0,Cat_6,A
Female,Yes,40,Yes,Entertainment,7.0,Average,2.0,Cat_3,B
Male,Yes,63,Yes,Entertainment,,Average,3.0,Cat_6,C
Female,Yes,27,Yes,Healthcare,,Low,2.0,Cat_6,D
Male,No,27,Yes,Healthcare,1.0,Low,3.0,Cat_6,D
Female,No,19,No,Healthcare,1.0,Low,2.0,Cat_6,D
Female,Yes,86,Yes,Lawyer,0.0,High,2.0,Cat_6,B
Male,Yes,41,Yes,Marketing,,High,2.0,Cat_6,B
Female,Yes,27,Yes,Artist,4.0,Average,2.0,Cat_3,C
Female,Yes,70,No,Doctor,0.0,Average,2.0,Cat_6,B
Female,Yes,53,No,Engineer,8.0,Average,4.0,Cat_4,B
Female,Yes,49,No,Engineer,,Average,4.0,Cat_4,B
Male,Yes,55,No,Executive,3.0,Low,,Cat_4,D
Female,,57,Yes,Engineer,0.0,Average,4.0,Cat_2,C
Male,Yes,83,No,Lawyer,,Low,1.0,Cat_4,B
Male,Yes,43,No,Executive,0.0,High,4.0,Cat_6,A
Male,Yes,36,No,Doctor,6.0,Low,3.0,Cat_6,A
Male,Yes,74,Yes,Lawyer,0.0,Low,2.0,Cat_6,C
Female,No,30,No,Homemaker,0.0,Low,4.0,Cat_6,D
Female,No,37,Yes,Artist,5.0,Low,2.0,Cat_6,B
Female,No,22,No,Marketing,0.0,Low,1.0,Cat_5,B
Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,D
Male,Yes,70,Yes,Engineer,4.0,High,2.0,Cat_6,B
Male,Yes,89,Yes,Lawyer,13.0,Low,1.0,Cat_6,A
Male,No,18,No,Healthcare,,Low,4.0,Cat_6,D
Male,No,25,Yes,Doctor,6.0,Low,1.0,Cat_2,D
Female,No,45,Yes,Artist,4.0,Low,1.0,Cat_3,A
Female,No,35,Yes,Artist,3.0,Low,1.0,Cat_4,A
Female,Yes,37,No,Engineer,7.0,Low,1.0,Cat_4,D
Female,Yes,39,No,Engineer,4.0,Average,2.0,Cat_6,B
Female,No,32,Yes,Healthcare,1.0,Low,5.0,Cat_4,D
Female,Yes,62,Yes,Artist,2.0,Average,3.0,Cat_6,C
Female,Yes,58,Yes,Engineer,0.0,Average,4.0,Cat_4,B
Female,No,32,No,Engineer,,Low,4.0,Cat_6,C
Male,No,25,No,Healthcare,0.0,Low,5.0,Cat_6,C
Female,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,C
Female,No,36,Yes,Entertainment,10.0,Low,2.0,Cat_6,A
Female,No,30,No,Healthcare,8.0,Low,3.0,Cat_6,A
Male,No,19,No,Healthcare,1.0,Low,5.0,Cat_6,D
Male,No,27,Yes,Healthcare,0.0,Low,2.0,Cat_6,A
Female,No,38,Yes,Doctor,14.0,Low,1.0,Cat_6,A
Male,Yes,46,Yes,Artist,8.0,Average,2.0,Cat_6,C
Male,No,29,Yes,Artist,3.0,Low,1.0,Cat_6,B
Male,Yes,51,No,Entertainment,1.0,Average,4.0,Cat_7,B
Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6,A
Female,Yes,69,Yes,Engineer,1.0,Low,1.0,Cat_3,A
Female,No,26,No,Healthcare,1.0,Low,8.0,Cat_7,C
Female,Yes,83,Yes,Lawyer,0.0,Low,3.0,Cat_6,A
Female,No,39,Yes,Healthcare,9.0,Low,1.0,Cat_6,D
Male,Yes,35,Yes,Artist,9.0,Low,1.0,Cat_6,A
Male,Yes,19,No,Marketing,2.0,High,5.0,Cat_6,C
Female,Yes,60,Yes,Artist,,High,4.0,Cat_6,C
Male,Yes,35,Yes,Artist,,Average,4.0,Cat_6,C
Female,No,53,Yes,Engineer,,Low,1.0,Cat_6,B
Female,Yes,86,No,Lawyer,,Low,,Cat_6,B
Female,No,29,No,Healthcare,1.0,Low,3.0,Cat_6,B
Female,No,26,No,Doctor,0.0,Low,1.0,Cat_6,D
Male,No,36,Yes,Engineer,8.0,Low,1.0,Cat_6,A
Female,No,22,No,Homemaker,0.0,Low,4.0,Cat_6,D
Male,No,19,No,Marketing,0.0,Low,5.0,Cat_6,A
Female,Yes,20,Yes,Lawyer,1.0,Average,3.0,Cat_3,A
Male,No,43,Yes,Healthcare,3.0,Low,3.0,Cat_6,D
Female,No,42,Yes,Artist,,Low,3.0,Cat_6,A
Male,No,43,Yes,Entertainment,1.0,Low,2.0,Cat_4,A
Female,Yes,50,Yes,Engineer,4.0,High,3.0,Cat_6,B
Male,No,25,Yes,Entertainment,1.0,Low,2.0,Cat_6,A
Male,Yes,61,No,Artist,1.0,High,2.0,Cat_6,B
Female,Yes,28,Yes,Healthcare,0.0,Average,2.0,Cat_6,A
Male,No,38,Yes,Artist,1.0,Low,1.0,Cat_6,D
Male,No,25,No,Executive,12.0,Low,3.0,Cat_6,A
Female,No,18,No,Healthcare,9.0,Low,5.0,Cat_4,D
Male,Yes,43,Yes,Entertainment,1.0,Average,5.0,Cat_5,C
Female,No,27,Yes,Artist,8.0,Low,1.0,Cat_6,B
Female,No,60,Yes,Entertainment,1.0,Low,2.0,Cat_6,D
Male,Yes,75,Yes,Lawyer,2.0,Low,1.0,Cat_6,D
Female,No,31,No,Doctor,,Low,4.0,Cat_6,D
Male,No,23,No,Doctor,6.0,Low,4.0,Cat_2,D
Male,No,36,Yes,Artist,8.0,Low,1.0,Cat_6,A
Male,No,30,No,Doctor,1.0,Low,1.0,Cat_3,C
Male,Yes,56,No,Artist,1.0,Average,2.0,Cat_6,C
Female,Yes,52,Yes,Artist,2.0,Low,2.0,Cat_6,C
Male,Yes,39,Yes,Entertainment,0.0,Low,1.0,Cat_6,D
Female,No,35,No,Artist,5.0,Low,1.0,Cat_6,A
Male,Yes,33,No,Engineer,0.0,Average,2.0,Cat_6,B
Female,No,25,Yes,Artist,0.0,Low,6.0,Cat_6,A
Female,Yes,27,Yes,Artist,0.0,Average,2.0,Cat_4,B
Male,Yes,35,Yes,Artist,1.0,High,3.0,Cat_6,A
Female,Yes,41,Yes,Artist,1.0,Average,2.0,Cat_6,C
Female,Yes,49,Yes,Artist,,Average,3.0,Cat_7,C
Female,Yes,46,No,Artist,8.0,Average,2.0,Cat_6,B
Female,No,31,No,Healthcare,,Low,2.0,Cat_6,D
Male,No,49,Yes,Doctor,,Low,1.0,Cat_6,C
Female,No,26,Yes,Artist,9.0,Low,1.0,Cat_6,A
Male,Yes,43,Yes,Doctor,13.0,High,2.0,Cat_6,B
Female,Yes,30,Yes,Artist,8.0,Low,4.0,Cat_6,A
Female,Yes,70,Yes,Artist,1.0,Average,4.0,Cat_6,C
Female,No,28,Yes,Artist,,Low,1.0,Cat_6,D
Female,Yes,89,No,Lawyer,3.0,High,1.0,Cat_6,D
Female,Yes,42,No,Homemaker,6.0,High,4.0,Cat_6,B
Female,Yes,37,Yes,Entertainment,6.0,Average,3.0,Cat_4,A
Male,Yes,29,No,Executive,1.0,Average,3.0,Cat_6,D
Female,Yes,68,Yes,Artist,1.0,High,2.0,Cat_6,C
Female,No,25,No,Engineer,1.0,Low,1.0,Cat_4,D
