age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,y
64,retired,married,tertiary,no,1644,no,no,telephone,341,4,179,4,success,yes
35,management,married,tertiary,no,3109,yes,no,cellular,467,1,-1,0,unknown,no
36,management,single,tertiary,no,0,no,no,cellular,108,2,-1,0,unknown,no
34,admin.,single,secondary,no,395,yes,no,cellular,150,2,364,8,failure,no
61,housemaid,single,unknown,no,893,no,no,telephone,324,1,-1,0,unknown,no
36,blue-collar,married,secondary,no,0,yes,no,cellular,254,2,361,8,other,no
56,blue-collar,married,primary,no,1798,yes,no,unknown,228,3,-1,0,unknown,no
34,blue-collar,married,secondary,no,751,yes,yes,cellular,1303,1,-1,0,unknown,yes
35,admin.,married,secondary,no,430,yes,no,cellular,611,1,270,4,failure,no
42,management,single,tertiary,no,1146,yes,no,unknown,98,2,-1,0,unknown,no
57,services,single,secondary,no,2236,yes,no,unknown,73,2,-1,0,unknown,no
52,blue-collar,married,secondary,no,185,yes,no,unknown,124,3,-1,0,unknown,no
42,management,married,tertiary,no,6060,yes,no,cellular,316,1,350,2,failure,yes
65,retired,divorced,secondary,no,744,no,no,cellular,182,1,-1,0,unknown,no
83,retired,married,primary,no,425,no,no,telephone,773,1,92,2,success,yes
40,technician,single,secondary,no,2141,no,no,cellular,107,3,-1,0,unknown,no
36,self-employed,single,tertiary,no,3560,no,no,cellular,658,3,169,2,failure,no
32,admin.,divorced,tertiary,no,146,yes,no,cellular,69,1,361,1,failure,no
52,management,married,tertiary,no,0,yes,no,cellular,164,2,-1,0,unknown,no
49,admin.,married,secondary,no,2254,no,no,cellular,77,1,-1,0,unknown,no
38,management,single,tertiary,no,93,yes,yes,unknown,394,3,-1,0,unknown,no
40,management,married,secondary,no,394,yes,no,cellular,60,5,-1,0,unknown,no
63,retired,married,secondary,no,1495,no,no,cellular,389,1,195,4,other,yes
30,technician,married,secondary,no,-280,yes,no,cellular,246,2,-1,0,unknown,no
44,services,married,secondary,no,-1621,yes,yes,unknown,171,5,-1,0,unknown,no
33,services,married,secondary,no,766,yes,no,cellular,22,3,-1,0,unknown,no
41,blue-collar,married,secondary,no,1885,yes,no,cellular,158,2,-1,0,unknown,no
47,admin.,divorced,secondary,no,-407,yes,no,unknown,46,1,-1,0,unknown,no
40,unemployed,married,secondary,no,1779,yes,no,unknown,59,7,-1,0,unknown,no
52,management,married,tertiary,no,0,no,no,cellular,77,3,-1,0,unknown,no
43,blue-collar,married,secondary,no,704,yes,no,telephone,28,2,306,1,failure,no
34,technician,divorced,unknown,no,975,yes,no,cellular,263,2,191,1,other,no
37,services,married,secondary,no,3,yes,no,cellular,105,4,318,6,failure,no
59,blue-collar,married,secondary,no,202,yes,no,unknown,173,1,-1,0,unknown,no
35,self-employed,married,tertiary,no,3698,yes,no,cellular,106,1,-1,0,unknown,yes
37,blue-collar,married,primary,no,-137,yes,no,cellular,800,5,-1,0,unknown,no
44,services,married,secondary,no,-627,yes,no,unknown,373,2,-1,0,unknown,no
37,admin.,married,secondary,no,0,yes,no,cellular,179,1,190,1,success,yes
36,management,single,tertiary,no,1841,yes,no,cellular,141,4,-1,0,unknown,no
50,self-employed,married,secondary,no,306,no,no,unknown,37,1,-1,0,unknown,no
37,unemployed,single,secondary,no,490,yes,yes,cellular,739,2,325,3,failure,no
49,management,single,tertiary,no,1556,yes,no,cellular,674,3,-1,0,unknown,no
30,blue-collar,single,primary,no,17,yes,no,cellular,125,3,-1,0,unknown,no
30,blue-collar,married,secondary,no,167,yes,no,cellular,255,1,-1,0,unknown,yes
51,technician,married,secondary,no,180,yes,no,cellular,154,2,-1,0,unknown,no
28,admin.,married,secondary,no,957,yes,yes,unknown,646,3,-1,0,unknown,no
54,management,married,tertiary,no,1258,no,no,cellular,153,14,-1,0,unknown,no
36,student,married,tertiary,no,408,no,no,unknown,112,3,-1,0,unknown,no
37,management,married,tertiary,no,0,yes,no,unknown,346,4,-1,0,unknown,no
60,housemaid,married,unknown,no,2769,no,no,cellular,96,2,-1,0,unknown,no
47,blue-collar,married,unknown,no,-345,yes,no,unknown,18,14,-1,0,unknown,no
70,retired,married,unknown,no,1236,no,no,cellular,58,4,-1,0,unknown,no
26,self-employed,single,tertiary,no,1153,no,no,cellular,238,3,-1,0,unknown,no
48,management,married,secondary,no,410,yes,no,cellular,116,1,-1,0,unknown,no
35,blue-collar,single,tertiary,no,1830,no,no,cellular,78,4,93,2,failure,no
32,blue-collar,married,secondary,no,897,yes,no,cellular,293,3,322,2,failure,no
34,services,divorced,secondary,no,1826,yes,no,cellular,212,1,-1,0,unknown,no
41,management,married,primary,no,-679,yes,yes,unknown,209,2,-1,0,unknown,no
36,admin.,married,secondary,no,-294,yes,no,cellular,148,1,-1,0,unknown,no
30,blue-collar,single,secondary,no,-390,yes,no,cellular,275,1,-1,0,unknown,no
33,management,single,tertiary,no,3161,yes,no,cellular,313,3,-1,0,unknown,yes
44,blue-collar,single,secondary,no,34,yes,no,unknown,404,4,-1,0,unknown,no
57,technician,married,secondary,no,589,yes,no,cellular,223,1,76,4,failure,no
38,management,single,secondary,no,293,no,yes,cellular,166,2,-1,0,unknown,no
41,unemployed,married,tertiary,no,0,no,no,cellular,373,3,-1,0,unknown,yes
24,blue-collar,single,secondary,no,117,yes,yes,unknown,470,1,-1,0,unknown,no
31,self-employed,single,tertiary,no,1734,no,no,cellular,116,4,-1,0,unknown,no
51,management,married,tertiary,no,812,no,no,telephone,248,3,-1,0,unknown,no
30,technician,married,secondary,no,-306,yes,yes,cellular,372,1,186,1,failure,no
46,blue-collar,married,secondary,no,3999,no,no,cellular,202,1,-1,0,unknown,no
28,blue-collar,married,secondary,no,373,yes,no,cellular,10,9,344,1,failure,no
35,housemaid,married,primary,no,218,yes,no,cellular,127,1,-1,0,unknown,no
28,management,single,tertiary,no,730,yes,no,cellular,78,6,85,5,other,no
52,admin.,single,secondary,no,2332,no,no,cellular,108,2,-1,0,unknown,no
49,technician,married,secondary,no,305,no,no,cellular,140,1,99,1,failure,no
45,services,divorced,primary,no,242,yes,no,unknown,336,1,-1,0,unknown,no
59,entrepreneur,divorced,tertiary,no,-869,no,yes,cellular,113,1,-1,0,unknown,no
49,blue-collar,married,primary,no,0,yes,no,unknown,151,2,-1,0,unknown,no
31,management,single,tertiary,no,924,no,no,cellular,207,2,98,1,success,yes
37,admin.,single,secondary,no,686,yes,no,cellular,253,3,280,2,failure,no
66,retired,married,tertiary,no,1948,no,no,cellular,216,1,91,4,success,yes
48,blue-collar,married,secondary,no,1513,no,yes,cellular,1171,1,-1,0,unknown,no
46,services,married,secondary,no,301,no,no,cellular,241,7,-1,0,unknown,no
37,entrepreneur,single,tertiary,no,108,no,no,unknown,157,6,-1,0,unknown,no
33,blue-collar,married,secondary,no,175,yes,no,unknown,392,2,-1,0,unknown,no
60,admin.,married,secondary,no,12210,yes,no,unknown,256,1,-1,0,unknown,no
30,services,married,secondary,no,114,no,no,cellular,185,4,-1,0,unknown,no
42,blue-collar,divorced,primary,no,299,yes,no,cellular,305,2,261,2,failure,no
37,entrepreneur,divorced,secondary,no,1190,yes,no,unknown,268,3,-1,0,unknown,no
30,services,single,secondary,no,603,yes,yes,unknown,335,2,-1,0,unknown,no
42,management,married,tertiary,no,2110,no,yes,cellular,106,2,-1,0,unknown,no
28,blue-collar,married,unknown,no,52,yes,no,unknown,226,1,-1,0,unknown,no
49,management,single,tertiary,no,2555,no,yes,cellular,263,2,-1,0,unknown,no
35,blue-collar,married,primary,no,-167,yes,no,cellular,195,3,359,1,failure,no
29,management,married,tertiary,no,318,yes,no,cellular,1434,2,356,4,failure,no
37,housemaid,married,tertiary,no,0,yes,no,cellular,97,2,-1,0,unknown,no
46,management,married,tertiary,no,1808,no,no,cellular,172,2,-1,0,unknown,no
53,services,divorced,secondary,no,43,yes,no,unknown,70,6,-1,0,unknown,no
31,technician,single,secondary,no,0,no,no,cellular,213,4,-1,0,unknown,no
34,services,divorced,tertiary,no,800,yes,yes,cellular,309,2,-1,0,unknown,no
36,services,married,secondary,no,387,yes,no,unknown,232,1,-1,0,unknown,no
37,unemployed,single,tertiary,no,953,yes,no,cellular,102,1,155,5,failure,no
32,management,single,tertiary,no,728,yes,no,unknown,125,1,-1,0,unknown,no
56,blue-collar,married,secondary,no,1521,yes,yes,cellular,19,2,179,3,other,no
44,admin.,divorced,secondary,no,66,yes,no,unknown,206,1,-1,0,unknown,no
33,technician,married,secondary,no,5833,yes,no,cellular,57,1,-1,0,unknown,no
54,technician,divorced,secondary,no,-11,yes,no,cellular,168,4,-1,0,unknown,no
19,student,single,secondary,no,527,no,no,cellular,154,3,-1,0,unknown,no
27,blue-collar,single,secondary,no,539,yes,no,cellular,268,5,252,2,failure,no
56,blue-collar,married,secondary,no,605,no,yes,cellular,157,6,-1,0,unknown,no
49,admin.,divorced,secondary,no,169,yes,no,unknown,447,1,-1,0,unknown,no
24,blue-collar,single,secondary,no,-287,yes,no,cellular,504,1,-1,0,unknown,no
51,retired,married,secondary,no,3003,yes,no,cellular,149,3,-1,0,unknown,no
38,blue-collar,single,tertiary,no,263,yes,no,cellular,84,6,-1,0,unknown,no
36,management,married,tertiary,no,2283,no,no,cellular,213,2,-1,0,unknown,no
30,blue-collar,married,secondary,no,363,yes,no,cellular,165,1,-1,0,unknown,no
44,blue-collar,single,secondary,no,25,yes,no,cellular,244,3,-1,0,unknown,no
34,blue-collar,single,primary,no,505,yes,no,unknown,351,1,-1,0,unknown,no
27,admin.,married,secondary,no,-401,yes,yes,cellular,205,3,214,1,failure,no
29,unemployed,single,tertiary,no,991,no,no,cellular,563,1,-1,0,unknown,no
29,admin.,married,tertiary,no,26,yes,no,unknown,45,1,-1,0,unknown,no
33,blue-collar,single,secondary,no,264,yes,no,cellular,494,1,-1,0,unknown,no
57,retired,married,secondary,no,415,no,no,cellular,408,1,410,2,failure,no
19,student,single,secondary,no,55,no,no,telephone,89,2,193,1,other,no
38,admin.,married,secondary,no,253,yes,no,unknown,515,4,-1,0,unknown,no
49,management,divorced,tertiary,no,696,yes,no,unknown,310,3,-1,0,unknown,no
28,blue-collar,married,secondary,no,5611,yes,no,unknown,340,2,-1,0,unknown,no
40,admin.,married,secondary,no,438,yes,no,cellular,823,2,-1,0,unknown,no
47,housemaid,single,primary,no,46,no,no,cellular,371,1,-1,0,unknown,no
23,management,single,tertiary,no,2605,yes,no,unknown,278,6,-1,0,unknown,no
32,technician,single,secondary,no,12,no,no,cellular,173,2,-1,0,unknown,no
33,technician,single,tertiary,no,316,no,no,cellular,126,3,-1,0,unknown,no
50,blue-collar,married,secondary,no,3988,no,no,unknown,165,4,-1,0,unknown,no
32,management,single,tertiary,no,999,yes,no,cellular,50,1,-1,0,unknown,no
46,services,divorced,secondary,no,355,yes,no,cellular,122,2,338,8,other,no
49,blue-collar,single,secondary,no,143,yes,no,unknown,83,1,-1,0,unknown,no
39,unknown,single,unknown,no,0,no,no,telephone,28,1,-1,0,unknown,no
47,management,married,secondary,no,1144,no,yes,cellular,324,1,-1,0,unknown,no
50,blue-collar,married,primary,no,1290,yes,no,unknown,65,14,-1,0,unknown,no
39,blue-collar,married,primary,no,95,yes,no,unknown,230,1,-1,0,unknown,no
50,services,married,secondary,no,60,no,yes,cellular,151,8,-1,0,unknown,no
55,unemployed,married,secondary,no,549,no,no,cellular,43,5,-1,0,unknown,no
56,management,married,primary,yes,-255,yes,no,telephone,9,5,-1,0,unknown,no
36,blue-collar,married,secondary,no,1704,no,no,unknown,179,4,-1,0,unknown,no
40,management,single,primary,no,1527,no,yes,cellular,317,2,-1,0,unknown,no
30,self-employed,single,tertiary,no,251,no,no,cellular,537,1,-1,0,unknown,yes
52,blue-collar,married,primary,no,584,yes,no,cellular,76,18,-1,0,unknown,no
51,technician,single,secondary,no,-463,yes,no,cellular,496,1,343,3,failure,no
32,services,married,secondary,no,11512,yes,no,cellular,301,1,183,1,failure,no
45,blue-collar,married,secondary,no,1577,yes,no,cellular,188,1,-1,0,unknown,no
52,blue-collar,married,primary,no,0,yes,no,cellular,17,28,-1,0,unknown,no
37,blue-collar,divorced,secondary,no,316,yes,no,unknown,642,2,-1,0,unknown,yes
61,blue-collar,married,primary,no,5,no,no,cellular,562,2,94,3,success,yes
34,blue-collar,married,primary,no,0,yes,yes,unknown,34,29,-1,0,unknown,no
31,blue-collar,married,secondary,no,812,yes,no,cellular,245,1,-1,0,unknown,no
57,services,married,secondary,no,2658,yes,no,cellular,107,1,190,1,failure,no
40,technician,married,secondary,no,372,yes,no,cellular,365,1,100,2,failure,no
54,services,married,secondary,no,-165,no,yes,unknown,202,1,-1,0,unknown,no
35,technician,married,tertiary,no,432,no,no,cellular,104,8,-1,0,unknown,no
66,retired,single,tertiary,no,0,no,no,cellular,105,1,92,2,failure,no
31,technician,single,secondary,no,1188,yes,no,cellular,82,1,-1,0,unknown,no
36,blue-collar,divorced,secondary,no,313,yes,yes,cellular,264,2,-1,0,unknown,no
36,technician,married,secondary,no,361,no,no,cellular,188,4,-1,0,unknown,no
51,technician,married,secondary,no,2,yes,yes,cellular,71,1,205,3,failure,no
50,services,divorced,secondary,no,81,no,no,cellular,746,2,-1,0,unknown,no
29,self-employed,married,secondary,no,0,no,no,unknown,469,2,-1,0,unknown,no
56,retired,married,primary,yes,-123,no,yes,cellular,146,3,-1,0,unknown,no
46,housemaid,married,primary,no,39,no,no,unknown,74,2,-1,0,unknown,no
32,management,divorced,tertiary,no,294,yes,no,cellular,1095,1,274,5,success,yes
35,self-employed,married,secondary,no,2251,no,no,cellular,151,8,-1,0,unknown,no
34,self-employed,married,tertiary,no,191,no,no,cellular,59,1,-1,0,unknown,no
31,management,married,tertiary,no,1812,no,no,cellular,138,1,84,2,failure,no
54,self-employed,married,tertiary,no,542,no,no,telephone,48,5,-1,0,unknown,no
35,management,married,tertiary,no,0,no,no,cellular,543,4,-1,0,unknown,no
40,blue-collar,married,secondary,no,1808,yes,no,cellular,560,1,-1,0,unknown,yes
39,services,divorced,secondary,no,892,yes,no,cellular,34,1,171,1,failure,no
35,technician,divorced,secondary,no,213,no,no,cellular,46,2,-1,0,unknown,no
36,technician,married,tertiary,no,202,no,no,cellular,313,1,120,3,failure,yes
44,services,divorced,secondary,no,206,yes,no,cellular,78,1,365,1,failure,no
29,management,single,tertiary,no,637,yes,no,cellular,340,1,119,1,failure,yes
44,technician,married,secondary,no,2626,yes,no,unknown,567,3,-1,0,unknown,no
47,blue-collar,married,unknown,no,878,yes,no,cellular,245,4,-1,0,unknown,no
30,admin.,married,tertiary,no,501,yes,yes,cellular,92,1,-1,0,unknown,no
56,technician,married,secondary,no,64,no,no,cellular,35,4,-1,0,unknown,no
34,admin.,married,secondary,no,0,no,yes,cellular,136,2,-1,0,unknown,no
35,blue-collar,married,secondary,no,262,no,no,cellular,427,1,181,3,success,yes
37,management,single,unknown,no,715,yes,no,unknown,247,2,-1,0,unknown,no
44,blue-collar,single,tertiary,no,827,yes,no,unknown,65,4,-1,0,unknown,no
41,blue-collar,married,primary,no,389,yes,no,unknown,87,6,-1,0,unknown,no
60,admin.,divorced,secondary,no,663,no,yes,cellular,385,3,197,1,other,no
36,technician,divorced,secondary,no,141,yes,no,unknown,319,3,-1,0,unknown,no
53,blue-collar,married,primary,no,95,yes,no,unknown,53,3,-1,0,unknown,no
38,management,married,tertiary,no,5432,yes,yes,cellular,408,1,183,1,failure,no
33,blue-collar,single,secondary,no,76,yes,no,unknown,1141,4,-1,0,unknown,yes
59,technician,divorced,secondary,no,2,no,no,cellular,164,2,-1,0,unknown,no
31,technician,divorced,secondary,no,202,yes,no,cellular,146,1,-1,0,unknown,no
59,technician,divorced,tertiary,no,3331,yes,no,cellular,43,3,-1,0,unknown,no
34,technician,married,tertiary,no,11126,no,no,cellular,140,4,-1,0,unknown,no
44,blue-collar,single,primary,no,10984,no,no,unknown,258,18,-1,0,unknown,no
30,technician,single,secondary,no,9645,no,yes,cellular,130,10,-1,0,unknown,no
30,blue-collar,married,unknown,no,198,yes,no,unknown,149,3,-1,0,unknown,no
76,housemaid,divorced,primary,no,1411,no,no,telephone,170,3,-1,0,unknown,yes
35,blue-collar,married,secondary,no,603,yes,no,cellular,474,2,-1,0,unknown,no
25,services,single,secondary,no,93,no,no,cellular,130,1,-1,0,unknown,no
30,management,single,tertiary,no,13,no,no,cellular,21,3,-1,0,unknown,no
34,blue-collar,single,secondary,no,213,yes,no,cellular,47,1,343,2,failure,no
45,blue-collar,married,primary,no,626,yes,no,unknown,68,1,-1,0,unknown,no
30,management,single,tertiary,no,0,yes,no,cellular,495,1,-1,0,unknown,no
26,unemployed,single,secondary,no,387,no,no,cellular,506,1,-1,0,unknown,no
32,services,divorced,secondary,no,1156,yes,no,cellular,81,1,182,1,failure,no
39,blue-collar,divorced,secondary,no,0,yes,no,cellular,15,7,-1,0,unknown,no
55,retired,married,secondary,no,493,yes,no,unknown,647,7,-1,0,unknown,no
33,technician,single,unknown,no,10600,no,no,cellular,202,1,267,2,failure,no
51,entrepreneur,married,primary,no,805,yes,no,cellular,132,4,-1,0,unknown,no
35,blue-collar,married,primary,no,793,yes,no,cellular,106,1,-1,0,unknown,no
55,admin.,married,secondary,no,183,yes,no,unknown,150,1,-1,0,unknown,no
56,blue-collar,married,secondary,no,-199,no,yes,cellular,428,2,-1,0,unknown,no
24,blue-collar,married,secondary,no,-254,yes,yes,unknown,290,2,-1,0,unknown,no
60,housemaid,married,unknown,no,5421,no,no,cellular,458,4,-1,0,unknown,no
37,blue-collar,single,secondary,no,9306,yes,no,cellular,603,1,-1,0,unknown,no
35,admin.,married,primary,no,136,yes,no,unknown,283,1,-1,0,unknown,no
33,technician,married,secondary,no,1,yes,no,cellular,261,4,-1,0,unknown,no
30,technician,single,tertiary,no,849,no,no,cellular,81,4,-1,0,unknown,no
45,management,married,secondary,no,424,yes,yes,cellular,216,5,-1,0,unknown,no
36,blue-collar,single,primary,no,79,no,no,unknown,9,3,-1,0,unknown,no
49,management,married,tertiary,no,3840,yes,no,unknown,146,4,-1,0,unknown,no
60,retired,married,secondary,no,3932,yes,no,unknown,407,2,-1,0,unknown,no
47,blue-collar,married,secondary,no,8229,no,no,cellular,784,2,-1,0,unknown,yes
59,technician,married,tertiary,no,4445,no,no,unknown,96,7,-1,0,unknown,no
37,unemployed,married,primary,no,236,yes,no,cellular,101,1,-1,0,unknown,no
51,entrepreneur,divorced,tertiary,no,315,no,no,cellular,291,1,91,4,failure,no
34,services,married,secondary,no,1337,no,no,cellular,255,2,104,1,success,yes
32,admin.,single,secondary,no,471,no,yes,cellular,243,3,-1,0,unknown,yes
56,admin.,married,secondary,no,2087,yes,no,unknown,146,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,1039,yes,no,unknown,44,7,-1,0,unknown,no
36,admin.,married,secondary,no,1588,yes,no,cellular,103,1,-1,0,unknown,no
58,blue-collar,divorced,primary,no,8218,yes,no,cellular,124,10,-1,0,unknown,no
54,housemaid,married,primary,no,167,yes,no,cellular,106,2,-1,0,unknown,no
47,services,married,secondary,no,382,yes,no,unknown,57,4,-1,0,unknown,no
29,admin.,single,tertiary,no,14,no,no,cellular,87,1,120,1,failure,no
40,management,married,primary,no,214,yes,no,cellular,59,4,-1,0,unknown,no
36,technician,married,tertiary,no,3043,yes,no,cellular,254,1,-1,0,unknown,no
36,blue-collar,married,secondary,no,439,yes,no,unknown,260,5,-1,0,unknown,no
36,blue-collar,married,secondary,no,198,yes,no,unknown,400,2,-1,0,unknown,no
54,blue-collar,married,primary,no,-16,no,yes,telephone,346,2,-1,0,unknown,no
49,services,married,primary,no,468,no,no,cellular,608,2,-1,0,unknown,no
34,services,single,primary,no,496,yes,no,cellular,173,1,-1,0,unknown,no
37,housemaid,married,primary,no,309,no,no,cellular,11,15,-1,0,unknown,no
74,retired,married,secondary,no,935,no,no,cellular,400,1,173,3,success,yes
53,management,married,tertiary,no,-670,no,yes,cellular,86,2,-1,0,unknown,no
47,admin.,married,secondary,no,3386,no,yes,cellular,360,17,-1,0,unknown,no
28,blue-collar,single,secondary,no,517,no,yes,cellular,91,3,213,1,success,no
43,management,married,tertiary,no,3186,no,no,cellular,380,1,88,1,failure,yes
32,management,single,tertiary,no,1742,no,no,unknown,231,2,-1,0,unknown,no
35,services,divorced,secondary,no,-121,yes,yes,cellular,73,1,-1,0,unknown,no
33,management,married,tertiary,no,6513,yes,no,cellular,170,1,343,1,other,yes
70,retired,married,tertiary,no,15834,no,no,telephone,90,1,-1,0,unknown,no
32,admin.,married,tertiary,no,0,yes,no,cellular,102,1,-1,0,unknown,no
32,blue-collar,married,secondary,no,2549,yes,no,unknown,246,3,-1,0,unknown,no
37,blue-collar,married,primary,no,1534,yes,no,unknown,126,4,-1,0,unknown,no
67,retired,divorced,secondary,no,704,no,no,cellular,186,2,97,1,success,yes
49,management,married,tertiary,yes,10,yes,no,cellular,226,1,-1,0,unknown,no
29,technician,single,tertiary,no,2269,yes,no,cellular,53,1,346,1,failure,no
49,technician,married,secondary,no,4772,no,no,cellular,157,3,-1,0,unknown,no
31,housemaid,married,tertiary,no,2190,yes,no,telephone,25,6,258,18,other,no
51,technician,married,secondary,no,-153,no,no,cellular,72,2,92,4,failure,no
49,blue-collar,married,secondary,no,0,yes,no,telephone,52,1,-1,0,unknown,no
58,management,married,tertiary,no,1016,no,no,telephone,78,2,91,1,failure,no
34,management,married,tertiary,no,775,yes,no,cellular,210,2,-1,0,unknown,no
32,technician,single,secondary,no,6471,yes,yes,unknown,349,4,-1,0,unknown,no
39,management,divorced,primary,no,516,yes,no,cellular,207,2,-1,0,unknown,no
36,admin.,married,tertiary,no,29,no,no,cellular,576,1,-1,0,unknown,yes
38,management,married,unknown,no,3053,no,no,unknown,178,1,-1,0,unknown,no
40,technician,divorced,secondary,no,93,no,no,cellular,123,2,-1,0,unknown,no
59,blue-collar,married,secondary,yes,-918,yes,no,unknown,253,2,-1,0,unknown,no
49,retired,married,primary,no,375,no,yes,telephone,110,7,-1,0,unknown,no
37,services,married,secondary,no,1372,yes,no,unknown,129,2,-1,0,unknown,no
58,retired,married,secondary,no,1172,no,no,cellular,86,1,-1,0,unknown,no
32,blue-collar,married,secondary,no,2526,yes,no,unknown,25,8,-1,0,unknown,no
51,blue-collar,married,secondary,no,8180,yes,no,cellular,86,1,-1,0,unknown,no
34,technician,married,secondary,no,0,yes,no,cellular,144,1,-1,0,unknown,no
52,admin.,married,secondary,no,3422,no,no,cellular,168,1,-1,0,unknown,no
50,services,married,secondary,no,1572,yes,no,cellular,185,1,-1,0,unknown,no
35,blue-collar,divorced,primary,no,0,no,no,unknown,200,1,-1,0,unknown,no
37,technician,single,secondary,no,884,yes,yes,cellular,128,2,-1,0,unknown,no
50,management,married,secondary,no,268,no,no,cellular,74,2,90,2,failure,no
52,blue-collar,married,secondary,no,955,no,yes,cellular,153,1,48,3,success,yes
54,technician,married,tertiary,no,446,no,no,cellular,67,6,-1,0,unknown,no
